ID_Produit,Nom_Produit,Catégorie,Sous-catégorie,Prix,Date_Lancement,Date_Fin_Production,Nombre_Revendeurs,Nombre_Pays_Distribution,Nombre_Publicités,Gamme,Certification
P001,Galaxy S21,Électronique,Smartphone,999,2020-07-13,2022-01-28,245,8,33,Économique,RoHS
P002,Galaxy Note 20,Électronique,Smartphone,1099,2020-11-20,,355,14,20,Économique,None
P003,QLED 8K TV,Électronique,Télévision,2999,2020-12-20,2022-02-12,103,36,14,Premium,CE
P004,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-10,,321,5,23,Économique,RoHS
P005,Galaxy Tab S7,Électronique,Tablette,649,2020-09-23,2022-06-14,193,39,71,Premium,RoHS
P006,Galaxy Watch 3,Électronique,Montre,399,2020-02-23,,395,11,45,Premium,FCC
P007,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-22,2022-01-03,75,46,43,Premium,RoHS
P008,Galaxy A52,Électronique,Smartphone,499,2020-03-25,,174,44,36,Premium,RoHS
P009,Portable SSD T7,Électronique,Stockage,189,2020-02-05,2022-04-18,197,25,81,Économique,CE
P010,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-07-17,,337,49,48,Économique,RoHS
P011,Galaxy S21,Électronique,Smartphone,999,2020-05-05,2022-07-07,454,21,12,Premium,RoHS
P012,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-17,,304,42,30,Économique,None
P013,QLED 8K TV,Électronique,Télévision,2999,2020-04-04,2022-06-20,127,20,70,Premium,FCC
P014,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-12-23,,57,35,23,Premium,None
P015,Galaxy Tab S7,Électronique,Tablette,649,2020-09-24,2022-10-18,286,17,93,Premium,None
P016,Galaxy Watch 3,Électronique,Montre,399,2020-12-22,,291,14,49,Premium,None
P017,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-12-20,2022-11-22,436,25,62,Économique,FCC
P018,Galaxy A52,Électronique,Smartphone,499,2020-04-15,,192,40,83,Premium,FCC
P019,Portable SSD T7,Électronique,Stockage,189,2020-12-31,2022-04-23,156,17,52,Économique,None
P020,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-08,,146,23,42,Premium,RoHS
P021,Galaxy S21,Électronique,Smartphone,999,2020-12-07,2022-07-06,280,16,87,Premium,CE
P022,Galaxy Note 20,Électronique,Smartphone,1099,2020-05-21,,348,5,97,Premium,CE
P023,QLED 8K TV,Électronique,Télévision,2999,2020-02-08,2022-05-24,481,23,83,Premium,RoHS
P024,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-01-22,,222,20,31,Économique,None
P025,Galaxy Tab S7,Électronique,Tablette,649,2020-02-24,2022-12-19,133,9,40,Économique,FCC
P026,Galaxy Watch 3,Électronique,Montre,399,2020-11-27,,400,15,89,Économique,RoHS
P027,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-09-14,2022-07-10,236,20,20,Économique,RoHS
P028,Galaxy A52,Électronique,Smartphone,499,2020-11-27,,152,23,12,Premium,FCC
P029,Portable SSD T7,Électronique,Stockage,189,2020-08-28,2022-10-19,190,28,77,Premium,RoHS
P030,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-04-03,,252,31,73,Premium,FCC
P031,Galaxy S21,Électronique,Smartphone,999,2020-06-18,2022-11-24,72,24,46,Premium,RoHS
P032,Galaxy Note 20,Électronique,Smartphone,1099,2020-08-18,,64,17,70,Économique,RoHS
P033,QLED 8K TV,Électronique,Télévision,2999,2020-11-18,2022-04-11,339,42,32,Premium,None
P034,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-08-04,,332,18,75,Premium,CE
P035,Galaxy Tab S7,Électronique,Tablette,649,2020-09-09,2022-01-20,374,15,12,Économique,FCC
P036,Galaxy Watch 3,Électronique,Montre,399,2020-03-01,,99,31,21,Premium,None
P037,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-10-19,2022-11-01,160,1,56,Économique,None
P038,Galaxy A52,Électronique,Smartphone,499,2020-10-03,,455,18,65,Premium,CE
P039,Portable SSD T7,Électronique,Stockage,189,2020-08-06,2022-10-05,423,8,32,Premium,None
P040,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-08-27,,94,25,81,Premium,CE
P041,Galaxy S21,Électronique,Smartphone,999,2020-08-14,2022-06-26,250,35,41,Premium,FCC
P042,Galaxy Note 20,Électronique,Smartphone,1099,2020-02-04,,189,4,39,Économique,FCC
P043,QLED 8K TV,Électronique,Télévision,2999,2020-09-10,2022-03-26,437,47,40,Économique,FCC
P044,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-03-09,,70,18,29,Économique,CE
P045,Galaxy Tab S7,Électronique,Tablette,649,2020-09-28,2022-11-02,90,48,70,Économique,CE
P046,Galaxy Watch 3,Électronique,Montre,399,2020-04-07,,140,21,45,Premium,FCC
P047,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-06-26,2022-10-16,442,25,78,Premium,None
P048,Galaxy A52,Électronique,Smartphone,499,2020-09-24,,286,44,59,Économique,None
P049,Portable SSD T7,Électronique,Stockage,189,2020-11-10,2022-05-13,190,7,62,Économique,None
P050,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-03-17,,102,17,54,Premium,CE
P051,Galaxy S21,Électronique,Smartphone,999,2020-09-09,2022-10-05,72,4,90,Économique,RoHS
P052,Galaxy Note 20,Électronique,Smartphone,1099,2020-09-19,,352,14,11,Premium,None
P053,QLED 8K TV,Électronique,Télévision,2999,2020-06-13,2022-07-22,357,30,59,Économique,CE
P054,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-09-09,,331,38,22,Premium,FCC
P055,Galaxy Tab S7,Électronique,Tablette,649,2020-09-27,2022-05-15,168,28,64,Économique,FCC
P056,Galaxy Watch 3,Électronique,Montre,399,2020-07-18,,445,32,49,Premium,RoHS
P057,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-05-08,2022-03-10,93,50,10,Premium,CE
P058,Galaxy A52,Électronique,Smartphone,499,2020-01-20,,246,38,98,Économique,CE
P059,Portable SSD T7,Électronique,Stockage,189,2020-03-12,2022-01-02,129,7,55,Économique,RoHS
P060,Galaxy Z Fold 2,Électronique,Smartphone,1999,2020-04-19,,452,42,25,Premium,None
P061,Galaxy S21,Électronique,Smartphone,999,2020-08-27,2022-01-20,493,33,19,Premium,CE
P062,Galaxy Note 20,Électronique,Smartphone,1099,2020-10-29,,493,33,28,Économique,FCC
P063,QLED 8K TV,Électronique,Télévision,2999,2020-01-09,2022-10-23,500,37,48,Économique,CE
P064,Galaxy Buds Pro,Électronique,Écouteurs,199,2020-06-06,,150,11,25,Économique,RoHS
P065,Galaxy Tab S7,Électronique,Tablette,649,2020-12-08,2022-03-19,126,41,31,Économique,RoHS
P066,Galaxy Watch 3,Électronique,Montre,399,2020-01-13,,202,15,24,Économique,RoHS
P067,Family Hub Refrigerator,Électronique,Réfrigérateur,2199,2020-08-26,2022-10-09,50,3,42,Premium,RoHS
