ID_Vente,ID_Produit,Quantité_Vendue,Date_Vente,ID_Client,Montant_Total,Délai_Livraison_Jours,Score_Satisfaction,Méthode_Expédition,Canal_Achat,Pays_Vente
V0001,P751,5,2021-04-01,C955,4995,27,4.1015032039264465,Standard,En ligne,Allemagne
V0002,P1335,1,2021-03-16,C231,649,20,4.316369989328656,Express,Revendeur,France
V0003,P1160,4,2021-01-04,C693,7996,28,4.846014247136648,Express,Revendeur,Corée
V0004,P346,2,2021-11-23,C280,798,20,1.8128590634659592,Standard,Magasin,Allemagne
V0005,P1149,4,2021-12-23,C320,756,19,3.7916273103091593,Standard,Magasin,France
V0006,P1989,2,2021-06-22,C424,378,30,2.315947787200463,Standard,En ligne,Corée
V0007,P916,4,2021-08-01,C559,1596,10,4.930591607342643,Standard,Revendeur,Allemagne
V0008,P416,1,2021-11-07,C228,399,16,2.0258346463932724,Express,Magasin,France
V0009,P1944,1,2021-12-24,C565,199,29,4.526755078743706,Standard,Revendeur,Chine
V0010,P1811,2,2021-06-20,C866,1998,23,4.09944968606208,Express,Magasin,France
V0011,P1143,2,2021-01-18,C965,5998,7,1.1703798468294844,Express,Magasin,USA
V0012,P1823,4,2021-04-24,C871,11996,26,2.3681038699555934,Express,Magasin,Allemagne
V0013,P1098,2,2021-04-27,C564,998,21,4.358500822206793,Express,En ligne,Allemagne
V0014,P1710,5,2021-04-11,C815,9995,5,2.882920432289396,Standard,Revendeur,Chine
V0015,P820,4,2021-08-12,C528,7996,5,2.256435851128593,Standard,Revendeur,Chine
V0016,P1020,1,2021-07-21,C266,1999,1,1.8035742206962664,Express,En ligne,Corée
V0017,P1335,3,2021-09-29,C383,1947,11,2.7317477410497877,Express,En ligne,Allemagne
V0018,P705,1,2021-07-14,C343,649,11,3.7160180212105662,Express,Revendeur,France
V0019,P062,1,2021-03-13,C696,1099,9,4.7337972775663,Standard,Revendeur,Allemagne
V0020,P1908,4,2021-01-14,C467,1996,12,4.274214265987599,Standard,Revendeur,Corée
V0021,P271,1,2021-03-19,C389,999,2,1.8857320183894086,Express,En ligne,France
V0022,P1001,2,2021-10-18,C252,1998,4,3.1707779099823887,Express,En ligne,USA
V0023,P538,3,2021-08-06,C672,1497,2,1.5240093375188208,Standard,Magasin,Chine
V0024,P1194,4,2021-08-08,C985,796,25,1.834645299655219,Standard,En ligne,Corée
V0025,P1989,2,2021-11-01,C356,378,1,4.440962708674201,Standard,Magasin,France
V0026,P1597,3,2021-02-14,C426,6597,24,4.865979198439323,Express,Magasin,USA
